Drug Name,Drug Class,Indication,Side Effects,Dosage Form,Dosage Strength,Prescription Status,Manufacturer,Approval Year,Description,Price (USD),Market Status
Drug-6740,Antihypertensive,Wound Cleaning,"Drowsiness, Dizziness, Nausea",Capsule,274 mg,Prescription,BioSynth,1981,A antihypertensive used for wound cleaning.,340.86,Discontinued
Drug-3869,Antiseptic,Fungal Infection,"Headache, Dizziness",Cream,833 mg,Prescription,PharmaCorp,2000,A antiseptic used for fungal infection.,372.28,Discontinued
Drug-6819,Antifungal,Virus Management,Dizziness,Gel,998 mg,Prescription,BioSynth,2008,A antifungal used for virus management.,165.08,Active
Drug-1076,Antihistamine,Depression,"Headache, Dizziness",Tablet,598 mg,OTC,BioSynth,1990,A antihistamine used for depression.,475.41,Discontinued
Drug-5628,Sedative,Infection,Nausea,Syrup,412 mg,OTC,PharmaCorp,2016,A sedative used for infection.,94.07,Discontinued
Drug-9880,Analgesic,Depression,"Fatigue, Nausea",Tablet,141 mg,Prescription,BioSynth,1990,A analgesic used for depression.,257.61,Discontinued
Drug-2766,Antibiotic,Diabetes,"Stomach Upset, Drowsiness, Fatigue",Capsule,396 mg,Prescription,MediLife,2003,A antibiotic used for diabetes.,233.26,Discontinued
Drug-9773,Antifungal,Infection,Stomach Upset,Cream,519 mg,Prescription,Global Remedies,1999,A antifungal used for infection.,315.93,Discontinued
Drug-3656,Antiviral,Depression,Headache,Syrup,357 mg,OTC,PharmaCorp,2023,A antiviral used for depression.,378.65,Discontinued
Drug-7970,Antiviral,Pain Relief,Fatigue,Gel,34 mg,OTC,MediLife,2023,A antiviral used for pain relief.,333.51,Discontinued
Drug-6970,Antihistamine,Virus Management,Headache,Cream,58 mg,OTC,MediLife,2004,A antihistamine used for virus management.,284.25,Discontinued
Drug-9744,Analgesic,Diabetes,Headache,Cream,223 mg,Prescription,Global Remedies,2019,A analgesic used for diabetes.,480.87,Active
Drug-3787,Antiviral,Fungal Infection,Fatigue,Capsule,437 mg,OTC,MediLife,2005,A antiviral used for fungal infection.,425.82,Active
Drug-7238,Sedative,Diabetes,"Drowsiness, Nausea, Headache",Gel,283 mg,OTC,HealthPlus,2016,A sedative used for diabetes.,394.84,Active
Drug-7953,Antihypertensive,Pain Relief,"Dizziness, Drowsiness",Injection,18 mg,Prescription,PharmaCorp,1992,A antihypertensive used for pain relief.,289.32,Discontinued
Drug-6726,Antiviral,Allergy Relief,"Drowsiness, Fatigue",Syrup,943 mg,Prescription,HealthPlus,2004,A antiviral used for allergy relief.,344.09,Discontinued
Drug-4250,Antibiotic,Blood Pressure Control,"Headache, Stomach Upset",Gel,281 mg,OTC,Global Remedies,1992,A antibiotic used for blood pressure control.,314.45,Discontinued
Drug-8537,Antiviral,Fungal Infection,Headache,Injection,439 mg,OTC,Global Remedies,1987,A antiviral used for fungal infection.,240.05,Discontinued
Drug-4752,Antihypertensive,Diabetes,"Drowsiness, Dizziness, Headache",Cream,698 mg,Prescription,PharmaCorp,2018,A antihypertensive used for diabetes.,139.69,Discontinued
Drug-3001,Antidepressant,Blood Pressure Control,Stomach Upset,Syrup,342 mg,OTC,MediLife,2007,A antidepressant used for blood pressure control.,167.45,Discontinued
Drug-4305,Antiviral,Fungal Infection,"Nausea, Drowsiness",Syrup,619 mg,Prescription,Global Remedies,2011,A antiviral used for fungal infection.,312.19,Active
Drug-7567,Antiseptic,Depression,Stomach Upset,Injection,291 mg,OTC,BioSynth,2022,A antiseptic used for depression.,135.83,Active
Drug-2122,Antibiotic,Virus Management,"Nausea, Fatigue, Stomach Upset",Cream,523 mg,OTC,Global Remedies,1988,A antibiotic used for virus management.,36.21,Active
Drug-4927,Antihistamine,Blood Pressure Control,"Dizziness, Headache",Capsule,693 mg,OTC,MediLife,1994,A antihistamine used for blood pressure control.,315.16,Discontinued
Drug-9290,Antidepressant,Wound Cleaning,"Stomach Upset, Fatigue",Gel,421 mg,Prescription,HealthPlus,1989,A antidepressant used for wound cleaning.,479.6,Active
Drug-9400,Antibiotic,Virus Management,"Headache, Stomach Upset",Tablet,264 mg,Prescription,Global Remedies,1994,A antibiotic used for virus management.,391.75,Discontinued
Drug-1253,Sedative,Depression,"Headache, Dizziness",Capsule,696 mg,Prescription,Global Remedies,2010,A sedative used for depression.,454.76,Active
Drug-9868,Antiseptic,Blood Pressure Control,"Dizziness, Stomach Upset",Cream,592 mg,Prescription,HealthPlus,2001,A antiseptic used for blood pressure control.,183.49,Discontinued
Drug-6118,Sedative,Allergy Relief,Fatigue,Injection,692 mg,OTC,MediLife,1996,A sedative used for allergy relief.,441.58,Discontinued
Drug-6203,Sedative,Infection,"Stomach Upset, Headache",Syrup,18 mg,Prescription,HealthPlus,2022,A sedative used for infection.,11.37,Discontinued
Drug-4400,Antiviral,Allergy Relief,"Fatigue, Dizziness, Drowsiness",Cream,937 mg,Prescription,Global Remedies,2019,A antiviral used for allergy relief.,212.77,Discontinued
Drug-1500,Antidepressant,Anxiety Reduction,"Drowsiness, Fatigue, Stomach Upset",Syrup,26 mg,OTC,HealthPlus,1997,A antidepressant used for anxiety reduction.,207.77,Discontinued
Drug-7203,Sedative,Virus Management,"Fatigue, Dizziness",Cream,684 mg,Prescription,MediLife,1998,A sedative used for virus management.,449.34,Discontinued
Drug-9805,Antidepressant,Wound Cleaning,"Dizziness, Drowsiness, Fatigue",Syrup,802 mg,OTC,HealthPlus,1997,A antidepressant used for wound cleaning.,173.64,Active
Drug-1082,Antidiabetic,Infection,"Nausea, Dizziness",Capsule,709 mg,OTC,PharmaCorp,1989,A antidiabetic used for infection.,361.75,Discontinued
Drug-3073,Antiseptic,Anxiety Reduction,"Drowsiness, Dizziness",Tablet,976 mg,OTC,BioSynth,2020,A antiseptic used for anxiety reduction.,74.1,Active
Drug-1785,Antifungal,Pain Relief,"Fatigue, Nausea",Injection,181 mg,Prescription,MediLife,1991,A antifungal used for pain relief.,331.83,Active
Drug-4143,Analgesic,Diabetes,Dizziness,Gel,586 mg,Prescription,HealthPlus,1998,A analgesic used for diabetes.,71.67,Active
Drug-5888,Analgesic,Infection,Nausea,Cream,207 mg,OTC,PharmaCorp,1995,A analgesic used for infection.,412.53,Discontinued
Drug-2397,Sedative,Infection,"Dizziness, Stomach Upset",Syrup,250 mg,Prescription,Global Remedies,1997,A sedative used for infection.,31.41,Discontinued
Drug-7505,Sedative,Virus Management,"Headache, Nausea",Tablet,827 mg,OTC,BioSynth,2016,A sedative used for virus management.,51.65,Discontinued
Drug-2304,Sedative,Infection,"Fatigue, Drowsiness, Nausea",Tablet,528 mg,OTC,PharmaCorp,2023,A sedative used for infection.,245.99,Discontinued
Drug-3802,Antibiotic,Depression,"Stomach Upset, Nausea, Dizziness",Injection,94 mg,OTC,PharmaCorp,1997,A antibiotic used for depression.,401.05,Active
Drug-9053,Antihypertensive,Anxiety Reduction,"Dizziness, Drowsiness, Fatigue",Injection,615 mg,OTC,Global Remedies,2008,A antihypertensive used for anxiety reduction.,45.74,Discontinued
Drug-5298,Analgesic,Anxiety Reduction,"Nausea, Fatigue, Dizziness",Syrup,700 mg,Prescription,MediLife,2004,A analgesic used for anxiety reduction.,202.42,Active
Drug-4145,Antibiotic,Allergy Relief,"Stomach Upset, Drowsiness",Capsule,750 mg,OTC,PharmaCorp,1990,A antibiotic used for allergy relief.,209.91,Discontinued
Drug-7010,Antidepressant,Virus Management,"Drowsiness, Headache",Cream,133 mg,Prescription,MediLife,1996,A antidepressant used for virus management.,108.81,Active
Drug-8798,Antiseptic,Allergy Relief,"Fatigue, Headache",Gel,702 mg,OTC,HealthPlus,2022,A antiseptic used for allergy relief.,297.57,Discontinued
Drug-3935,Antidepressant,Virus Management,"Nausea, Dizziness, Headache",Injection,473 mg,Prescription,PharmaCorp,2007,A antidepressant used for virus management.,304,Discontinued
Drug-9629,Antihypertensive,Diabetes,Fatigue,Injection,495 mg,Prescription,MediLife,1999,A antihypertensive used for diabetes.,142.35,Active
Drug-7310,Antifungal,Depression,"Nausea, Headache, Fatigue",Syrup,134 mg,OTC,MediLife,1985,A antifungal used for depression.,398.9,Discontinued
Drug-6826,Antidiabetic,Pain Relief,Headache,Gel,492 mg,Prescription,PharmaCorp,1981,A antidiabetic used for pain relief.,201.55,Discontinued
Drug-4373,Antihypertensive,Pain Relief,"Headache, Drowsiness, Fatigue",Gel,784 mg,OTC,MediLife,2001,A antihypertensive used for pain relief.,435.89,Active
Drug-2761,Antiseptic,Depression,"Stomach Upset, Fatigue, Dizziness",Cream,201 mg,OTC,HealthPlus,2021,A antiseptic used for depression.,287.63,Discontinued
Drug-3035,Sedative,Fungal Infection,"Dizziness, Nausea",Capsule,624 mg,OTC,Global Remedies,2014,A sedative used for fungal infection.,219.47,Active
Drug-4368,Antiviral,Anxiety Reduction,"Headache, Stomach Upset, Drowsiness",Capsule,431 mg,OTC,BioSynth,1991,A antiviral used for anxiety reduction.,383.37,Active
Drug-3523,Antifungal,Infection,"Fatigue, Headache",Capsule,633 mg,Prescription,PharmaCorp,2010,A antifungal used for infection.,499.6,Discontinued
Drug-3677,Antifungal,Diabetes,"Fatigue, Headache",Injection,709 mg,OTC,Global Remedies,2005,A antifungal used for diabetes.,343.95,Active
Drug-5525,Antiseptic,Fungal Infection,"Drowsiness, Stomach Upset, Headache",Syrup,109 mg,Prescription,PharmaCorp,2002,A antiseptic used for fungal infection.,86.5,Discontinued
Drug-7245,Antiseptic,Allergy Relief,Drowsiness,Tablet,828 mg,Prescription,BioSynth,2006,A antiseptic used for allergy relief.,463.04,Active
Drug-4822,Antiviral,Fungal Infection,"Fatigue, Headache, Stomach Upset",Syrup,217 mg,Prescription,Global Remedies,2002,A antiviral used for fungal infection.,250.56,Active
Drug-4489,Antiviral,Diabetes,"Stomach Upset, Fatigue",Syrup,328 mg,OTC,BioSynth,2003,A antiviral used for diabetes.,310.37,Discontinued
Drug-4276,Antibiotic,Pain Relief,"Drowsiness, Fatigue",Gel,681 mg,Prescription,HealthPlus,2011,A antibiotic used for pain relief.,55.65,Active
Drug-2394,Antihypertensive,Anxiety Reduction,Fatigue,Cream,611 mg,Prescription,BioSynth,2008,A antihypertensive used for anxiety reduction.,339.9,Discontinued
Drug-1644,Antibiotic,Virus Management,Fatigue,Injection,498 mg,OTC,HealthPlus,2017,A antibiotic used for virus management.,191.78,Active
Drug-4328,Antibiotic,Anxiety Reduction,"Headache, Drowsiness, Stomach Upset",Capsule,406 mg,OTC,PharmaCorp,1994,A antibiotic used for anxiety reduction.,492.81,Discontinued
Drug-4840,Antihistamine,Allergy Relief,Stomach Upset,Cream,648 mg,OTC,MediLife,2001,A antihistamine used for allergy relief.,472.01,Discontinued
Drug-5775,Analgesic,Infection,Nausea,Capsule,882 mg,Prescription,PharmaCorp,1985,A analgesic used for infection.,236.9,Active
Drug-2990,Sedative,Allergy Relief,"Drowsiness, Nausea, Stomach Upset",Injection,263 mg,Prescription,BioSynth,1993,A sedative used for allergy relief.,270.36,Active
Drug-1771,Antihypertensive,Blood Pressure Control,"Fatigue, Headache",Tablet,745 mg,OTC,BioSynth,2008,A antihypertensive used for blood pressure control.,21.23,Active
Drug-7194,Antidiabetic,Allergy Relief,"Nausea, Headache",Capsule,402 mg,Prescription,Global Remedies,2004,A antidiabetic used for allergy relief.,180.46,Active
Drug-3490,Antifungal,Infection,"Drowsiness, Nausea, Fatigue",Gel,341 mg,OTC,BioSynth,2014,A antifungal used for infection.,51.82,Active
Drug-5150,Analgesic,Virus Management,"Nausea, Fatigue",Gel,880 mg,Prescription,HealthPlus,2012,A analgesic used for virus management.,127.81,Active
Drug-5150,Analgesic,Fungal Infection,"Fatigue, Drowsiness",Injection,838 mg,OTC,HealthPlus,1987,A analgesic used for fungal infection.,247.02,Discontinued
Drug-2253,Antiseptic,Allergy Relief,"Fatigue, Headache, Drowsiness",Injection,341 mg,Prescription,Global Remedies,2012,A antiseptic used for allergy relief.,69.42,Discontinued
Drug-7724,Antihypertensive,Diabetes,Dizziness,Tablet,918 mg,Prescription,BioSynth,2015,A antihypertensive used for diabetes.,26.53,Active
Drug-3761,Sedative,Fungal Infection,Fatigue,Tablet,205 mg,Prescription,Global Remedies,2022,A sedative used for fungal infection.,427.46,Discontinued
Drug-9478,Antihistamine,Anxiety Reduction,"Stomach Upset, Nausea",Cream,967 mg,OTC,PharmaCorp,1989,A antihistamine used for anxiety reduction.,124.03,Discontinued
Drug-6913,Analgesic,Wound Cleaning,Stomach Upset,Gel,494 mg,Prescription,MediLife,1985,A analgesic used for wound cleaning.,498.26,Discontinued
Drug-5428,Sedative,Wound Cleaning,"Dizziness, Stomach Upset, Nausea",Syrup,503 mg,Prescription,Global Remedies,1987,A sedative used for wound cleaning.,282.42,Discontinued
Drug-2977,Antiviral,Wound Cleaning,"Fatigue, Stomach Upset",Capsule,584 mg,OTC,Global Remedies,2019,A antiviral used for wound cleaning.,249.7,Discontinued
Drug-2079,Analgesic,Infection,Headache,Gel,842 mg,Prescription,Global Remedies,1981,A analgesic used for infection.,42.32,Discontinued
Drug-5167,Antihypertensive,Depression,Stomach Upset,Cream,939 mg,Prescription,MediLife,2021,A antihypertensive used for depression.,372.01,Discontinued
Drug-6642,Antihypertensive,Infection,Headache,Injection,841 mg,Prescription,BioSynth,1983,A antihypertensive used for infection.,171.86,Active
Drug-1857,Antiseptic,Depression,Fatigue,Gel,68 mg,OTC,HealthPlus,2004,A antiseptic used for depression.,223.94,Active
Drug-9315,Antihistamine,Pain Relief,Dizziness,Injection,60 mg,OTC,PharmaCorp,2000,A antihistamine used for pain relief.,351.44,Discontinued
Drug-7074,Antiviral,Fungal Infection,"Nausea, Drowsiness",Syrup,705 mg,OTC,BioSynth,1987,A antiviral used for fungal infection.,51.43,Discontinued
Drug-5480,Antihypertensive,Wound Cleaning,Drowsiness,Syrup,757 mg,Prescription,HealthPlus,1995,A antihypertensive used for wound cleaning.,271.56,Active
Drug-2859,Antibiotic,Depression,Stomach Upset,Tablet,131 mg,Prescription,Global Remedies,1981,A antibiotic used for depression.,456.5,Active
Drug-2408,Antidiabetic,Allergy Relief,Fatigue,Tablet,335 mg,Prescription,BioSynth,2019,A antidiabetic used for allergy relief.,486.18,Discontinued
Drug-5818,Antifungal,Virus Management,"Fatigue, Nausea",Gel,509 mg,OTC,PharmaCorp,2023,A antifungal used for virus management.,484.44,Active
Drug-2844,Antihistamine,Diabetes,"Headache, Dizziness",Gel,431 mg,OTC,Global Remedies,2014,A antihistamine used for diabetes.,317.24,Active
Drug-5825,Sedative,Blood Pressure Control,"Drowsiness, Dizziness",Capsule,84 mg,OTC,HealthPlus,1982,A sedative used for blood pressure control.,423.17,Discontinued
Drug-1758,Analgesic,Fungal Infection,"Drowsiness, Headache",Injection,301 mg,OTC,HealthPlus,2004,A analgesic used for fungal infection.,156.24,Discontinued
Drug-1798,Antiviral,Anxiety Reduction,"Headache, Fatigue, Dizziness",Capsule,681 mg,OTC,HealthPlus,1999,A antiviral used for anxiety reduction.,42.95,Discontinued
Drug-5465,Antidiabetic,Depression,Headache,Cream,825 mg,OTC,PharmaCorp,1985,A antidiabetic used for depression.,225.43,Active
Drug-7263,Antiseptic,Pain Relief,"Fatigue, Dizziness",Syrup,580 mg,OTC,Global Remedies,1983,A antiseptic used for pain relief.,163.86,Active
Drug-9263,Antibiotic,Blood Pressure Control,"Headache, Drowsiness",Capsule,814 mg,OTC,HealthPlus,2018,A antibiotic used for blood pressure control.,110.67,Active
Drug-7457,Antihypertensive,Allergy Relief,"Fatigue, Nausea, Drowsiness",Tablet,923 mg,Prescription,PharmaCorp,2006,A antihypertensive used for allergy relief.,46.74,Discontinued
Drug-2053,Antihypertensive,Diabetes,"Drowsiness, Headache, Fatigue",Cream,843 mg,OTC,HealthPlus,1992,A antihypertensive used for diabetes.,203.24,Active
Drug-4008,Antibiotic,Infection,"Dizziness, Stomach Upset, Fatigue",Syrup,533 mg,OTC,PharmaCorp,1993,A antibiotic used for infection.,273.81,Discontinued
Drug-5666,Antiviral,Infection,"Stomach Upset, Dizziness",Capsule,995 mg,Prescription,Global Remedies,1993,A antiviral used for infection.,113.22,Active
Drug-2174,Sedative,Depression,"Stomach Upset, Drowsiness, Headache",Capsule,98 mg,Prescription,Global Remedies,1982,A sedative used for depression.,138.8,Discontinued
Drug-3580,Antidepressant,Depression,"Headache, Dizziness, Stomach Upset",Gel,544 mg,Prescription,PharmaCorp,2005,A antidepressant used for depression.,211.85,Discontinued
Drug-1901,Antiseptic,Allergy Relief,Nausea,Syrup,293 mg,Prescription,HealthPlus,1999,A antiseptic used for allergy relief.,203.84,Active
Drug-6129,Antiseptic,Infection,"Dizziness, Stomach Upset, Nausea",Gel,377 mg,Prescription,Global Remedies,2001,A antiseptic used for infection.,201.4,Discontinued
Drug-9683,Antidiabetic,Fungal Infection,"Drowsiness, Nausea, Stomach Upset",Tablet,622 mg,OTC,HealthPlus,2013,A antidiabetic used for fungal infection.,124.43,Active
Drug-4192,Antifungal,Infection,"Stomach Upset, Dizziness",Syrup,862 mg,OTC,MediLife,2003,A antifungal used for infection.,163.21,Discontinued
Drug-1240,Analgesic,Anxiety Reduction,"Drowsiness, Stomach Upset, Fatigue",Cream,499 mg,Prescription,PharmaCorp,1993,A analgesic used for anxiety reduction.,85.39,Active
Drug-4418,Antidepressant,Anxiety Reduction,"Drowsiness, Fatigue",Syrup,138 mg,OTC,BioSynth,2018,A antidepressant used for anxiety reduction.,92.98,Active
Drug-1765,Antidepressant,Pain Relief,Drowsiness,Injection,293 mg,Prescription,PharmaCorp,1990,A antidepressant used for pain relief.,98.21,Discontinued
Drug-9893,Analgesic,Diabetes,"Stomach Upset, Dizziness, Fatigue",Injection,652 mg,Prescription,BioSynth,1991,A analgesic used for diabetes.,279.74,Active
Drug-7367,Analgesic,Blood Pressure Control,Dizziness,Tablet,898 mg,OTC,BioSynth,1983,A analgesic used for blood pressure control.,395.92,Active
Drug-4497,Antihistamine,Fungal Infection,"Fatigue, Nausea, Stomach Upset",Injection,758 mg,Prescription,HealthPlus,2018,A antihistamine used for fungal infection.,98.76,Active
Drug-7015,Antihypertensive,Pain Relief,"Fatigue, Dizziness, Stomach Upset",Capsule,704 mg,OTC,HealthPlus,1993,A antihypertensive used for pain relief.,291.58,Active
Drug-1157,Antibiotic,Wound Cleaning,"Nausea, Headache, Dizziness",Capsule,451 mg,OTC,HealthPlus,2022,A antibiotic used for wound cleaning.,390.98,Discontinued
Drug-6852,Antihistamine,Virus Management,"Fatigue, Nausea, Dizziness",Tablet,755 mg,OTC,Global Remedies,2011,A antihistamine used for virus management.,430.07,Discontinued
Drug-9199,Antifungal,Allergy Relief,"Headache, Stomach Upset",Syrup,704 mg,OTC,HealthPlus,2018,A antifungal used for allergy relief.,7.08,Active
Drug-9757,Antifungal,Allergy Relief,Stomach Upset,Cream,565 mg,OTC,BioSynth,1999,A antifungal used for allergy relief.,93.76,Active
Drug-7389,Antidepressant,Wound Cleaning,"Nausea, Drowsiness, Stomach Upset",Syrup,61 mg,OTC,HealthPlus,2023,A antidepressant used for wound cleaning.,252.3,Discontinued
Drug-9338,Antifungal,Fungal Infection,Stomach Upset,Injection,86 mg,Prescription,HealthPlus,2014,A antifungal used for fungal infection.,26.36,Active
Drug-8409,Antidiabetic,Allergy Relief,Drowsiness,Syrup,959 mg,Prescription,Global Remedies,1992,A antidiabetic used for allergy relief.,121.52,Discontinued
Drug-4042,Analgesic,Diabetes,"Stomach Upset, Drowsiness, Headache",Cream,681 mg,Prescription,HealthPlus,2020,A analgesic used for diabetes.,196.4,Active
